Strain	Accession	Date	Region	Country	Division	Authors	Journal	Title	Url	CTiter	CTiterSub	Clade Membership	Clock Length	DTiter	DTiterSub	Ep	Lbi	Ne	Num Date	Raw Date
A/Brisbane/96/2012	EPI450231	2012-06-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.00	0.00	Unassigned	0.01	0.00	0.00	0.00	0.00	0.00	2012.47	2012-06-19
A/SouthAfrica/3626/2013	EPI466626	2013-06-05	Africa	South Africa	unknown	National Institute For Medical Research	unknown	unknown	unknown	0.00	0.00	6b	0.00	0.00	0.00	2.00	0.03	7.00	2013.43	2013-06-06
A/Bolivia/559/2013	EPI462802	2013-06-08	South America	Bolivia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.00	0.00	6b	0.00	0.00	0.00	2.00	0.03	6.00	2013.44	2013-06-08
A/Newcaledonia/58/2014	EPI541256	2014-05-18	Oceania	New Caledonia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	6.00	2014.38	2014-05-19
A/Tasmania/24/2014	EPI540924	2014-07-04	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	6.00	2014.51	2014-07-04
A/Venezuela/10/2016	EPI849474	2016-06-20	South America	Venezuela	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.20	0.00	6b	0.00	0.00	0.00	2.00	0.00	10.00	2016.47	2016-06-20
A/Guatemala/166/2016	EPI842117	2016-04-18	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.20	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.30	2016-04-18
A/Guatemala/178/2016	EPI830527	2016-04-21	North America	Guatemala	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.20	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.31	2016-04-21
A/Colombia/9919/2016	EPI838797	2016-08-03	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.20	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.59	2016-08-03
A/Colombia/9890/2016	EPI838781	2016-08-02	South America	Colombia	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.20	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2016.59	2016-08-01
A/Florida/62/2014	EPI552445	2014-10-27	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	7.00	2014.82	2014-10-28
A/Newcastle/16/2016	EPI834995	2016-04-18	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.02	0.00	6b	0.01	0.00	0.00	3.00	0.00	9.00	2016.30	2016-04-18
A/Antananarivo/3825/2016	EPI859820	2016-07-22	Africa	Madagascar	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.01	0.00	0.00	2.00	0.00	9.00	2016.56	2016-07-21
A/Mali/6050/2016	EPI828357	2016-04-21	Africa	Mali	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	6.00	2016.30	2016-04-20
A/Congo/691/2016	EPI842178	2016-04-21	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	3.00	0.00	7.00	2016.31	2016-04-21
A/Congo/728/2016	EPI842186	2016-04-25	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	7.00	2016.32	2016-04-25
A/Congo/742/2016	EPI842194	2016-05-02	Africa	Congo	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.02	0.00	6b	0.00	0.00	0.00	2.00	0.00	8.00	2016.34	2016-05-02
A/Vietnam/6024/2016	EPI980357	2016-05-06	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.01	0.10	6b	0.00	0.00	0.10	2.00	0.00	12.00	2016.35	2016-05-06
A/Vietnam/GHS83/2016	EPI830087	2016-05-18	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.01	0.00	6b	0.00	0.00	0.00	3.00	0.00	11.00	2016.38	2016-05-18
A/Indiana/21/2016	EPI717210	2016-02-03	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.01	0.00	6b	0.00	0.00	0.00	2.00	0.00	14.00	2016.10	2016-02-04
A/Minnesota/32/2015	EPI699804	2015-07-08	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.52	2015-07-09
A/Perth/103/2015	EPI675550	2015-08-06	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.60	2015-08-06
A/Israel/Q-504/2015	EPI697729	2015-12-14	West Asia	Israel	unknown	Crick Worldwide Influenza Centre	unknown	unknown	unknown	0.08	0.00	6b	0.00	0.00	0.00	2.00	0.00	11.00	2015.96	2015-12-15
A/Iowa/53/2015	EPI709630	2015-11-04	North America	USA	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2015.84	2015-11-04
A/Vietnam/6025/2016	EPI1017583	2016-05-06	Southeast Asia	Vietnam	unknown	Centers For Disease Control And Prevention	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	14.00	2016.35	2016-05-06
A/Yunnan-Hongta/SWL11417/2016	EPI885726	2016-12-02	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.92	2016-12-01
A/SouthAustralia/28/2016	EPI793198	2016-06-01	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.42	2016-06-01
A/SouthAustralia/36/2016	EPI829196	2016-06-22	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	13.00	2016.47	2016-06-21
A/Victoria/503/2016	EPI793183	2016-05-18	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.38	2016-05-18
A/SouthAustralia/121/2016	EPI868928	2016-10-05	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.76	2016-10-04
A/Brisbane/294/2016	EPI892999	2016-10-19	Oceania	Australia	unknown	Who Collaborating Centre For Reference And Research On Influenza	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	3.00	0.00	12.00	2016.80	2016-10-18
A/Sakai/8/2016	EPI840969	2016-05-10	Japan Korea	Japan	unknown	National Institute Of Infectious Diseases (Niid)	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.36	2016-05-09
A/Yunnan-Linxiang/SWL1758/2016	EPI817154	2016-06-23	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.48	2016-06-22
A/Jiangsu-Jurong/SWL1521/2016	EPI817118	2016-06-30	China	China	unknown	Who Chinese National Influenza Center	unknown	unknown	unknown	0.13	0.00	6b	0.00	0.00	0.00	2.00	0.00	12.00	2016.50	2016-06-30
